Airfoil,Camber,Camber_Location,Thickness,Re,Mach,Alpha,cl,cd,cm
0006,0,0,6,75000,0.55,3,0.381507,0.021911,0.005119
0006,0,0,6,75000,0.55,4,0.500619,0.031225,0.007753
0006,0,0,6,75000,0.55,5,0.601626,0.04955,0.001287
0006,0,0,6,75000,0.55,6,0.672434,0.076772,-0.027582
0006,0,0,6,75000,0.55,7,0.699206,0.100881,-0.051885
0006,0,0,6,75000,0.55,8,0.704939,0.122009,-0.066951
0006,0,0,6,75000,0.55,9,0.711041,0.141129,-0.076114
0006,0,0,6,75000,0.55,10,0.719917,0.161211,-0.084402
0006,0,0,6,75000,0.55,11,0.733611,0.18091,-0.090704
0006,0,0,6,75000,0.55,12,0.749308,0.200985,-0.096247
0006,0,0,6,75000,0.55,13,0.766675,0.221495,-0.101315
0006,0,0,6,75000,0.55,14,0.784865,0.242549,-0.106143
0006,0,0,6,75000,0.55,15,0.803554,0.264239,-0.110888
0006,0,0,6,75000,0.55,16,0.8226,0.286529,-0.115595
0006,0,0,6,75000,0.55,17,0.841596,0.309351,-0.120273
0006,0,0,6,75000,0.55,18,0.860126,0.332754,-0.124994
0006,0,0,6,75000,0.55,19,0.878227,0.356836,-0.129829
0006,0,0,6,75000,0.55,20,0.896069,0.379,0.142574
0006,0,0,6,75000,0.65,-20,-0.954737,0.35315,0.136787
0006,0,0,6,75000,0.65,-19,-0.934851,0.327862,0.130996
0006,0,0,6,75000,0.65,-18,-0.914079,0.303141,0.125168
0006,0,0,6,75000,0.65,-17,-0.892463,0.279028,0.119293
0006,0,0,6,75000,0.65,-16,-0.870184,0.255583,0.113364
0006,0,0,6,75000,0.65,-15,-0.847569,0.232794,0.107313
0006,0,0,6,75000,0.65,-14,-0.824847,0.210644,0.101039
0006,0,0,6,75000,0.65,-13,-0.802303,0.189104,0.094405
0006,0,0,6,75000,0.65,-12,-0.78048,0.168105,0.087184
0006,0,0,6,75000,0.65,-11,-0.760003,0.147385,0.07883
0006,0,0,6,75000,0.65,-10,-0.741078,0.126313,0.068093
0006,0,0,6,75000,0.65,-9,-0.725802,0.105076,0.054101
0006,0,0,6,75000,0.65,-8,-0.71415,0.082737,0.034638
0006,0,0,6,75000,0.65,-7,-0.707096,0.058508,0.008032
0006,0,0,6,75000,0.65,-6,-0.697051,0.037919,-0.009169
0006,0,0,6,75000,0.65,-5,-0.651974,0.024924,-0.010075
0006,0,0,6,75000,0.65,-4,-0.551822,0.018922,-0.005031
0006,0,0,6,75000,0.65,-3,-0.422849,0.016821,-0.002054
0006,0,0,6,75000,0.65,-2,-0.282891,0.015892,-0.000759
0006,0,0,6,75000,0.65,-1,-0.141255,0.01561,-0.000111
0006,0,0,6,75000,0.65,0,0.000486,0.015894,0.000538
0006,0,0,6,75000,0.65,1,0.142231,0.016824,0.001839
0006,0,0,6,75000,0.65,2,0.283868,0.018931,0.004824
0006,0,0,6,75000,0.65,3,0.423823,0.024951,0.009874
0006,0,0,6,75000,0.65,4,0.552746,0.037967,0.008934
0006,0,0,6,75000,0.65,5,0.652755,0.059157,-0.009652
0006,0,0,6,75000,0.65,6,0.698066,0.083226,-0.035816
0006,0,0,6,75000,0.65,7,0.707043,0.106311,-0.056457
0006,0,0,6,75000,0.65,8,0.713495,0.127273,-0.069518
0006,0,0,6,75000,0.65,9,0.725146,0.147065,-0.078545
0006,0,0,6,75000,0.65,10,0.739462,0.167701,-0.086864
0006,0,0,6,75000,0.65,11,0.757959,0.188691,-0.09413
0006,0,0,6,75000,0.65,12,0.778558,0.210191,-0.100768
0006,0,0,6,75000,0.65,13,0.800402,0.23228,-0.107018
0006,0,0,6,75000,0.65,14,0.822832,0.254985,-0.113029
0006,0,0,6,75000,0.65,15,0.845397,0.278338,-0.11891
0006,0,0,6,75000,0.65,16,0.867827,0.302343,-0.124729
0006,0,0,6,75000,0.65,17,0.889898,0.326958,-0.130504
0006,0,0,6,75000,0.65,18,0.911343,0.352141,-0.13625
0006,0,0,6,75000,0.65,19,0.931958,0.377899,-0.142004
0006,0,0,6,75000,0.65,20,0.951748,0.395077,0.153526
0006,0,0,6,75000,0.7,-20,-0.998474,0.367957,0.147021
0006,0,0,6,75000,0.7,-19,-0.977213,0.341379,0.140446
0006,0,0,6,75000,0.7,-18,-0.954807,0.31539,0.133793
0006,0,0,6,75000,0.7,-17,-0.931382,0.290026,0.127049
0006,0,0,6,75000,0.7,-16,-0.907067,0.265319,0.120182
0006,0,0,6,75000,0.7,-15,-0.882068,0.241291,0.113153
0006,0,0,6,75000,0.7,-14,-0.856622,0.217943,0.105882
0006,0,0,6,75000,0.7,-13,-0.831079,0.195267,0.098263
0006,0,0,6,75000,0.7,-12,-0.805922,0.173225,0.090119
0006,0,0,6,75000,0.7,-11,-0.781807,0.151681,0.081097
0006,0,0,6,75000,0.7,-10,-0.759502,0.130401,0.070556
0006,0,0,6,75000,0.7,-9,-0.740082,0.109622,0.058355
0006,0,0,6,75000,0.7,-8,-0.725377,0.087606,0.040667
0006,0,0,6,75000,0.7,-7,-0.714383,0.066088,0.019542
0006,0,0,6,75000,0.7,-6,-0.705797,0.046157,-0.002507
0006,0,0,6,75000,0.7,-5,-0.687361,0.02981,-0.012891
0006,0,0,6,75000,0.7,-4,-0.596908,0.02032,-0.008379
0006,0,0,6,75000,0.7,-3,-0.456785,0.017138,-0.002882
0006,0,0,6,75000,0.7,-2,-0.304952,0.016067,-0.000885
0006,0,0,6,75000,0.7,-1,-0.151922,0.015751,-0.000112
0006,0,0,6,75000,0.7,0,0.000498,0.016069,0.000667
0006,0,0,6,75000,0.7,1,0.152903,0.017142,0.002673
0006,0,0,6,75000,0.7,2,0.305941,0.020337,0.008183
0006,0,0,6,75000,0.7,3,0.457781,0.029851,0.01267
0006,0,0,6,75000,0.7,4,0.5979,0.045996,0.00254
0006,0,0,6,75000,0.7,5,0.684233,0.06506,-0.017012
0006,0,0,6,75000,0.7,6,0.704917,0.087933,-0.041516
0006,0,0,6,75000,0.7,7,0.713835,0.109323,-0.057985
0006,0,0,6,75000,0.7,8,0.723986,0.130061,-0.070166
0006,0,0,6,75000,0.7,9,0.738006,0.151324,-0.080745
0006,0,0,6,75000,0.7,10,0.757493,0.172787,-0.089744
0006,0,0,6,75000,0.7,11,0.779581,0.194808,-0.097921
0006,0,0,6,75000,0.7,12,0.803782,0.217448,-0.105546
0006,0,0,6,75000,0.7,13,0.828976,0.240733,-0.112788
0006,0,0,6,75000,0.7,14,0.854428,0.264672,-0.119769
0006,0,0,6,75000,0.7,15,0.879677,0.289281,-0.126579
0006,0,0,6,75000,0.7,16,0.904497,0.314542,-0.13327
0006,0,0,6,75000,0.7,17,0.928628,0.340415,-0.139861
0006,0,0,6,75000,0.7,18,0.951862,0.366881,-0.146382
0006,0,0,6,75000,0.7,19,0.974103,0.3939,-0.152843
0006,0,0,6,75000,0.7,20,0.995245,0.417716,0.170811
0006,0,0,6,75000,0.75,-20,-1.061428,0.388997,0.163457
0006,0,0,6,75000,0.75,-19,-1.038911,0.360754,0.155899
0006,0,0,6,75000,0.75,-18,-1.014834,0.333058,0.148137
0006,0,0,6,75000,0.75,-17,-0.989309,0.305948,0.140144
0006,0,0,6,75000,0.75,-16,-0.962424,0.279481,0.131907
0006,0,0,6,75000,0.75,-15,-0.934363,0.253695,0.123393
0006,0,0,6,75000,0.75,-14,-0.905331,0.228629,0.114563
0006,0,0,6,75000,0.75,-13,-0.875697,0.204309,0.105354
0006,0,0,6,75000,0.75,-12,-0.845944,0.180748,0.095676
0006,0,0,6,75000,0.75,-11,-0.816792,0.15792,0.085353
0006,0,0,6,75000,0.75,-10,-0.789146,0.13579,0.074105
0006,0,0,6,75000,0.75,-9,-0.764246,0.113934,0.060797
0006,0,0,6,75000,0.75,-8,-0.741737,0.093896,0.04748
0006,0,0,6,75000,0.75,-7,-0.725666,0.07533,0.031832
0006,0,0,6,75000,0.75,-6,-0.719745,0.058695,0.016484
0006,0,0,6,75000,0.75,-5,-0.715601,0.041639,0.001117
